raceID,name,symbol,confidence,distanceTravelled,position,time
daf2b1f8-d008-482b-b1d6-8d7cc08c705a,Blizzard,D,0.90,10,1,1061
daf2b1f8-d008-482b-b1d6-8d7cc08c705a,Lightning,B,0.80,10,2,1266
daf2b1f8-d008-482b-b1d6-8d7cc08c705a,Storm,E,0.85,10,3,1373
daf2b1f8-d008-482b-b1d6-8d7cc08c705a,Tornado,C,0.70,10,4,1796
daf2b1f8-d008-482b-b1d6-8d7cc08c705a,Thunder,A,0.60,1,5,-1
461d1676-e273-4ee0-9d9e-62a706147e23,Storm,E,0.85,30,1,3153
461d1676-e273-4ee0-9d9e-62a706147e23,Tornado,C,0.70,30,2,3875
461d1676-e273-4ee0-9d9e-62a706147e23,Lightning,B,0.80,30,3,4295
461d1676-e273-4ee0-9d9e-62a706147e23,Tempest,G,0.80,30,4,4295
461d1676-e273-4ee0-9d9e-62a706147e23,Whirlwind,F,0.75,30,5,4506
461d1676-e273-4ee0-9d9e-62a706147e23,Thunder,A,0.60,30,6,5865
461d1676-e273-4ee0-9d9e-62a706147e23,Testing Boi,H,0.30,30,7,13399
461d1676-e273-4ee0-9d9e-62a706147e23,Blizzard,D,0.90,14,8,-1
638f264e-1db7-42c4-8fb1-dfe1dbf87e7f,Blizzard,D,0.90,30,1,3256
638f264e-1db7-42c4-8fb1-dfe1dbf87e7f,Storm,E,0.85,30,2,3886
638f264e-1db7-42c4-8fb1-dfe1dbf87e7f,Tornado,C,0.70,30,3,4199
cd80f18a-f95d-4522-a370-22981b239023,Lightning,B,0.80,11,1,-1
cd80f18a-f95d-4522-a370-22981b239023,Thunder,A,0.60,2,2,-1
18569ea4-1709-4505-b9fe-a3405a6d72b9,Testing222222,Y,1.00,10,1,941
18569ea4-1709-4505-b9fe-a3405a6d72b9,Thunder,A,0.60,10,2,1463
4be6f2d9-8faf-4ede-a0f0-fd773cd21fc9,Testing222222,Y,1.00,30,1,3051
4be6f2d9-8faf-4ede-a0f0-fd773cd21fc9,Thunder,A,0.60,30,2,5868
9cf131fe-9743-459a-a1f5-6a1c5a6feaa8,Testing222222,Y,1.00,20,1,2008
9cf131fe-9743-459a-a1f5-6a1c5a6feaa8,Thunder,A,0.60,20,2,3262
f680592a-29f1-42ef-8628-9c016814226d,Thunder,A,0.60,30,1,3361
f680592a-29f1-42ef-8628-9c016814226d,Lightning,B,0.80,14,2,-1
f680592a-29f1-42ef-8628-9c016814226d,Tornado,C,0.70,10,3,-1
f680592a-29f1-42ef-8628-9c016814226d,Thunder,A,0.60,30,1,3361
f680592a-29f1-42ef-8628-9c016814226d,Lightning,B,0.80,14,2,-1
f680592a-29f1-42ef-8628-9c016814226d,Tornado,C,0.70,10,3,-1
